"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas ir kaimas","asmenys","14962"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas","asmenys","5773"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Kaimas","asmenys","9189"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas ir kaimas","asmenys","14844"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas","asmenys","5780"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Kaimas","asmenys","9064"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas ir kaimas","asmenys","22682"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas","asmenys","13994"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Kaimas","asmenys","8688"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas ir kaimas","asmenys","22746"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas","asmenys","13986"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Kaimas","asmenys","8760"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas ir kaimas","asmenys","22326"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas","asmenys","13817"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Kaimas","asmenys","8509"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas ir kaimas","asmenys","32823"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas","asmenys","16093"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Kaimas","asmenys","16730"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas ir kaimas","asmenys","32132"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas","asmenys","17042"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Kaimas","asmenys","15090"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas ir kaimas","asmenys","33131"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas","asmenys","17456"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Kaimas","asmenys","15675"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas ir kaimas","asmenys","33222"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas","asmenys","20027"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Kaimas","asmenys","13195"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas ir kaimas","asmenys","34348"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas","asmenys","21117"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Kaimas","asmenys","13231"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas ir kaimas","asmenys","33950"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas","asmenys","20954"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Kaimas","asmenys","12996"
