"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas","asmenys","12361"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Kaimas","asmenys","18000"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas ir kaimas","asmenys","320876"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas","asmenys","222820"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Kaimas","asmenys","98056"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas ir kaimas","asmenys","323314"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas","asmenys","228998"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Kaimas","asmenys","94316"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas ir kaimas","asmenys","329842"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas","asmenys","233814"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Kaimas","asmenys","96028"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","149433"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas","asmenys","149433"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Kaimas","asmenys",
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","152217"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas","asmenys","152217"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Kaimas","asmenys",
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","155234"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas","asmenys","155234"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","60945"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas","asmenys","15643"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Kaimas","asmenys","45302"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","58027"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas","asmenys","16351"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Kaimas","asmenys","41676"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","61271"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas","asmenys","16938"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Kaimas","asmenys","44333"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas ir kaimas","asmenys","37438"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas","asmenys","17948"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Kaimas","asmenys","19490"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas ir kaimas","asmenys","37496"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas","asmenys","18392"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Kaimas","asmenys","19104"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas ir kaimas","asmenys","37547"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas","asmenys","18482"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Kaimas","asmenys","19065"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas ir kaimas","asmenys","3603"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas","asmenys","3603"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Kaimas","asmenys",
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas ir kaimas","asmenys","3826"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas","asmenys","3826"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Kaimas","asmenys",
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas ir kaimas","asmenys","4033"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas","asmenys","4033"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas ir kaimas","asmenys","16159"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas","asmenys","16159"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Kaimas","asmenys",
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas ir kaimas","asmenys","16862"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas","asmenys","16862"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Kaimas","asmenys",
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas ir kaimas","asmenys","17736"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas","asmenys","17736"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas ir kaimas","asmenys","15897"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas","asmenys","5095"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Kaimas","asmenys","10802"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas ir kaimas","asmenys","16083"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas","asmenys","5464"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Kaimas","asmenys","10619"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas ir kaimas","asmenys","15613"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas","asmenys","5389"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Kaimas","asmenys","10224"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas ir kaimas","asmenys","37401"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas","asmenys","14939"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Kaimas","asmenys","22462"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas ir kaimas","asmenys","38803"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas","asmenys","15886"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Kaimas","asmenys","22917"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas ir kaimas","asmenys","38408"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas","asmenys","16002"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Kaimas","asmenys","22406"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės apskritis","Miestas ir kaimas","asmenys","135784"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės apskritis","Miestas","asmenys","66884"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės apskritis","Kaimas","asmenys","68900"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės apskritis","Miestas ir kaimas","asmenys","137497"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės apskritis","Miestas","asmenys","69585"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės apskritis","Kaimas","asmenys","67912"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės apskritis","Miestas ir kaimas","asmenys","136014"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės apskritis","Miestas","asmenys","69465"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės apskritis","Kaimas","asmenys","66549"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kalvarijos sav.","Miestas ir kaimas","asmenys","10056"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kalvarijos sav.","Miestas","asmenys","3749"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kalvarijos sav.","Kaimas","asmenys","6307"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kalvarijos sav.","Miestas ir kaimas","asmenys","9995"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kalvarijos sav.","Miestas","asmenys","3967"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kalvarijos sav.","Kaimas","asmenys","6028"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kalvarijos sav.","Miestas ir kaimas","asmenys","9954"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kalvarijos sav.","Miestas","asmenys","4039"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kalvarijos sav.","Kaimas","asmenys","5915"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kazlų Rūdos sav.","Miestas ir kaimas","asmenys","11233"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kazlų Rūdos sav.","Miestas","asmenys","5536"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kazlų Rūdos sav.","Kaimas","asmenys","5697"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kazlų Rūdos sav.","Miestas ir kaimas","asmenys","11006"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kazlų Rūdos sav.","Miestas","asmenys","5550"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kazlų Rūdos sav.","Kaimas","asmenys","5456"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kazlų Rūdos sav.","Miestas ir kaimas","asmenys","10909"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kazlų Rūdos sav.","Miestas","asmenys","5498"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kazlų Rūdos sav.","Kaimas","asmenys","5411"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės sav.","Miestas ir kaimas","asmenys","53651"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės sav.","Miestas","asmenys","34904"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės sav.","Kaimas","asmenys","18747"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės sav.","Miestas ir kaimas","asmenys","54641"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės sav.","Miestas","asmenys","36515"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės sav.","Kaimas","asmenys","18126"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės sav.","Miestas ir kaimas","asmenys","54343"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės sav.","Miestas","asmenys","36452"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės sav.","Kaimas","asmenys","17891"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės r. sav.","Miestas","asmenys",
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės r. sav.","Kaimas","asmenys",
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės r. sav.","Miestas","asmenys",
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės r. sav.","Kaimas","asmenys",
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės r. sav.","Miestas","asmenys",
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės r. sav.","Kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šakių r. sav.","Miestas ir kaimas","asmenys","26399"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šakių r. sav.","Miestas","asmenys","7947"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šakių r. sav.","Kaimas","asmenys","18452"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šakių r. sav.","Miestas ir kaimas","asmenys","26618"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šakių r. sav.","Miestas","asmenys","8314"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šakių r. sav.","Kaimas","asmenys","18304"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šakių r. sav.","Miestas ir kaimas","asmenys","26116"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šakių r. sav.","Miestas","asmenys","8306"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šakių r. sav.","Kaimas","asmenys","17810"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","34445"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilkaviškio r. sav.","Miestas","asmenys","14748"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilkaviškio r. sav.","Kaimas","asmenys","19697"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","35237"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilkaviškio r. sav.","Miestas","asmenys","15239"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilkaviškio r. sav.","Kaimas","asmenys","19998"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","34692"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Vilkaviškio r. sav.","Miestas","asmenys","15170"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Vilkaviškio r. sav.","Kaimas","asmenys","19522"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio apskritis","Miestas ir kaimas","asmenys","209742"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio apskritis","Miestas","asmenys","124851"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio apskritis","Kaimas","asmenys","84891"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio apskritis","Miestas ir kaimas","asmenys","214543"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio apskritis","Miestas","asmenys","128801"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio apskritis","Kaimas","asmenys","85742"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio apskritis","Miestas ir kaimas","asmenys","212031"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio apskritis","Miestas","asmenys","127778"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio apskritis","Kaimas","asmenys","84253"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Biržų r. sav.","Miestas ir kaimas","asmenys","22522"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Biržų r. sav.","Miestas","asmenys","10898"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Biržų r. sav.","Kaimas","asmenys","11624"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Biržų r. sav.","Miestas ir kaimas","asmenys","23041"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Biržų r. sav.","Miestas","asmenys","11483"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Biržų r. sav.","Kaimas","asmenys","11558"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Biržų r. sav.","Miestas ir kaimas","asmenys","22546"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Biržų r. sav.","Miestas","asmenys","11221"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Biržų r. sav.","Kaimas","asmenys","11325"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kupiškio r. sav.","Miestas ir kaimas","asmenys","16239"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kupiškio r. sav.","Miestas","asmenys","6733"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kupiškio r. sav.","Kaimas","asmenys","9506"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kupiškio r. sav.","Miestas ir kaimas","asmenys","16422"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kupiškio r. sav.","Miestas","asmenys","7045"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kupiškio r. sav.","Kaimas","asmenys","9377"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kupiškio r. sav.","Miestas ir kaimas","asmenys","16049"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kupiškio r. sav.","Miestas","asmenys","6993"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kupiškio r. sav.","Kaimas","asmenys","9056"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio m. sav.","Miestas ir kaimas","asmenys","85331"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio m. sav.","Miestas","asmenys","85331"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio m. sav.","Kaimas","asmenys",
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio m. sav.","Miestas ir kaimas","asmenys","88380"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio m. sav.","Miestas","asmenys","88380"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio m. sav.","Kaimas","asmenys",
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio m. sav.","Miestas ir kaimas","asmenys","87835"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio m. sav.","Miestas","asmenys","87835"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio m. sav.","Kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35209"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio r. sav.","Miestas","asmenys","1339"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio r. sav.","Kaimas","asmenys","33870"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35323"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio r. sav.","Miestas","asmenys","1217"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio r. sav.","Kaimas","asmenys","34106"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35105"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio r. sav.","Miestas","asmenys","1218"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio r. sav.","Kaimas","asmenys","33887"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Pasvalio r. sav.","Miestas ir kaimas","asmenys","22610"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Pasvalio r. sav.","Miestas","asmenys","7354"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Pasvalio r. sav.","Kaimas","asmenys","15256"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Pasvalio r. sav.","Miestas ir kaimas","asmenys","22948"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Pasvalio r. sav.","Miestas","asmenys","7453"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Pasvalio r. sav.","Kaimas","asmenys","15495"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Pasvalio r. sav.","Miestas ir kaimas","asmenys","22461"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Pasvalio r. sav.","Miestas","asmenys","7395"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Pasvalio r. sav.","Kaimas","asmenys","15066"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Rokiškio r. sav.","Miestas ir kaimas","asmenys","27831"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Rokiškio r. sav.","Miestas","asmenys","13196"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Rokiškio r. sav.","Kaimas","asmenys","14635"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Rokiškio r. sav.","Miestas ir kaimas","asmenys","28429"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Rokiškio r. sav.","Miestas","asmenys","13223"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Rokiškio r. sav.","Kaimas","asmenys","15206"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Rokiškio r. sav.","Miestas ir kaimas","asmenys","28035"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Rokiškio r. sav.","Miestas","asmenys","13116"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Rokiškio r. sav.","Kaimas","asmenys","14919"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Miestas ir kaimas","asmenys","261033"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Miestas","asmenys","167102"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Kaimas","asmenys","93931"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Miestas ir kaimas","asmenys","261881"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Miestas","asmenys","167808"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Kaimas","asmenys","94073"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Miestas ir kaimas","asmenys","261459"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Miestas","asmenys","169526"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Kaimas","asmenys","91933"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Miestas ir kaimas","asmenys","18672"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Miestas","asmenys","11648"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Kaimas","asmenys","7024"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Miestas ir kaimas","asmenys","19477"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Miestas","asmenys","12515"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Kaimas","asmenys","6962"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Miestas ir kaimas","asmenys","19266"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Miestas","asmenys","12503"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Kaimas","asmenys","6763"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Miestas ir kaimas","asmenys","20543"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Miestas","asmenys","9476"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Kaimas","asmenys","11067"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Miestas ir kaimas","asmenys","21151"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Miestas","asmenys","9848"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Kaimas","asmenys","11303"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Miestas ir kaimas","asmenys","20613"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Miestas","asmenys","9714"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Kaimas","asmenys","10899"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Miestas ir kaimas","asmenys","25156"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Miestas","asmenys","9901"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Kaimas","asmenys","15255"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Miestas ir kaimas","asmenys","25747"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Miestas","asmenys","10047"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Kaimas","asmenys","15700"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Miestas ir kaimas","asmenys","25136"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Miestas","asmenys","9957"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Kaimas","asmenys","15179"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Miestas ir kaimas","asmenys","18383"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Miestas","asmenys","5561"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Kaimas","asmenys","12822"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Miestas ir kaimas","asmenys","18679"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Miestas","asmenys","5861"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Kaimas","asmenys","12818"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Miestas ir kaimas","asmenys","18218"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Miestas","asmenys","5745"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Kaimas","asmenys","12473"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Radviliškio r. sav.","Miestas ir kaimas","asmenys","34845"
